strain	host	genetic exchange	lineage	hybrid zone	accession	date	province	country	city	town	db	title	journal	paper_url
HTNV_76-118	Apodemus agrarius		lineage 3	lineage 3	M14626	1976-XX-XX	Gyeonggi	South Korea	Dongducheon		genbank	Nucleotide sequence of the L genome segment of Hantaan virus	"Nucleic Acids Res / Published: Nov 25, 1990"	https://doi.org/10.1093/nar/18.22.6728
HTNV_Aa03-161	Apodemus agrarius		lineage 1	lineage 1	KT935024	2003-03-25	Gyeonggi	South Korea	Yeoncheon	Tonghyeon-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa03-386	Apodemus agrarius		lineage 1	lineage 1	KT935025	2003-06-09	Gyeonggi	South Korea	Yeoncheon	Tonghyeon-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa03-387	Apodemus agrarius		lineage 1	lineage 1	KT935026	2003-06-09	Gyeonggi	South Korea	Yeoncheon	Tonghyeon-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa05-190	Apodemus agrarius	Reassortant	lineage 1	lineage 1	KT935027	2005-03-22	Gyeonggi	South Korea	Paju	Jangjwa-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa05-241	Apodemus agrarius	Reassortant	lineage 1	lineage 1	KT935028	2005-03-24	Gyeonggi	South Korea	Paju	Jangjwa-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa05-249	Apodemus agrarius	Reassortant	lineage 1	lineage 1	KT935029	2005-03-25	Gyeonggi	South Korea	Paju	Jangjwa-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa05-331	Apodemus agrarius		lineage 1	lineage 1	KT935030	2005-06-21	Gyeonggi	South Korea	Yeoncheon	Tonghyeon-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa05-771	Apodemus agrarius		lineage 1	lineage 1	KT935031	2005-09-08	Gyeonggi	South Korea	Yeoncheon	Tonghyeon-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
HTNV_Aa05-775	Apodemus agrarius		lineage 1	lineage 1	KT935032	2005-09-08	Gyeonggi	South Korea	Yeoncheon	Tonghyeon-ri	genbank	"Genetic Diversity and Reassortment of Hantaan Virus Tripartite RNA Genomes in Nature, the Republic of Korea"	"PLOS Neglected Tropical Diseases / Published: June 17, 2016"	https://doi.org/10.1371/journal.pntd.0004650
